# Energy, Magnetization, Magnetization2, Magnetization4
-1.5, -0.75, 0.5625, 0.31640625
-2.25, 0.875, 0.765625, 0.586181640625
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-1.75, -0.75, 0.5625, 0.31640625
-2.25, 0.875, 0.765625, 0.586181640625
-2.25, -0.875, 0.765625, 0.586181640625
-3.0, -1.0, 1.0, 1.0
-1.5, 0.625, 0.390625, 0.152587890625
-3.0, -1.0, 1.0, 1.0
-0.75, -0.5, 0.25, 0.0625
-2.25, -0.875, 0.765625, 0.586181640625
-2.25, -0.875, 0.765625, 0.586181640625
-3.0, 1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-0.75, -0.375, 0.140625, 0.019775390625
-3.0, -1.0, 1.0, 1.0
-2.25, 0.875, 0.765625, 0.586181640625
-1.5, 0.75, 0.5625, 0.31640625
-2.25, -0.875, 0.765625, 0.586181640625
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-2.25, 0.875, 0.765625, 0.586181640625
-3.0, 1.0, 1.0, 1.0
-2.25, 0.875, 0.765625, 0.586181640625
-3.0, 1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-2.25, 0.875, 0.765625, 0.586181640625
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-0.5, -0.125, 0.015625, 0.000244140625
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-0.5, 0.125, 0.015625, 0.000244140625
-1.0, 0.625, 0.390625, 0.152587890625
-2.25, 0.875, 0.765625, 0.586181640625
-0.5, -0.375, 0.140625, 0.019775390625
-2.25, -0.875, 0.765625, 0.586181640625
-2.25, -0.875, 0.765625, 0.586181640625
-2.25, -0.875, 0.765625, 0.586181640625
-2.25, 0.875, 0.765625, 0.586181640625
-1.5, 0.75, 0.5625, 0.31640625
-3.0, -1.0, 1.0, 1.0
-1.75, -0.75, 0.5625, 0.31640625
-3.0, 1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-1.25, 0.625, 0.390625, 0.152587890625
-1.5, -0.75, 0.5625, 0.31640625
-3.0, 1.0, 1.0, 1.0
0.0, -0.125, 0.015625, 0.000244140625
-3.0, -1.0, 1.0, 1.0
-2.25, 0.875, 0.765625, 0.586181640625
-0.5, 0.25, 0.0625, 0.00390625
-2.25, -0.875, 0.765625, 0.586181640625
-1.75, 0.75, 0.5625, 0.31640625
-1.5, -0.75, 0.5625, 0.31640625
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-1.75, -0.75, 0.5625, 0.31640625
-3.0, 1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-2.25, 0.875, 0.765625, 0.586181640625
-2.25, -0.875, 0.765625, 0.586181640625
-2.25, -0.875, 0.765625, 0.586181640625
-2.25, -0.875, 0.765625, 0.586181640625
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-2.25, 0.875, 0.765625, 0.586181640625
-3.0, -1.0, 1.0, 1.0
-2.25, -0.875, 0.765625, 0.586181640625
-2.25, 0.875, 0.765625, 0.586181640625
-2.25, 0.875, 0.765625, 0.586181640625
-2.25, 0.875, 0.765625, 0.586181640625
-0.5, 0.375, 0.140625, 0.019775390625
-3.0, 1.0, 1.0, 1.0
-2.25, -0.875, 0.765625, 0.586181640625
-3.0, 1.0, 1.0, 1.0
-1.0, -0.375, 0.140625, 0.019775390625
-1.5, -0.75, 0.5625, 0.31640625
-2.25, -0.875, 0.765625, 0.586181640625
-3.0, 1.0, 1.0, 1.0
-1.75, -0.75, 0.5625, 0.31640625
-1.5, 0.75, 0.5625, 0.31640625
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-2.25, -0.875, 0.765625, 0.586181640625
-1.0, -0.375, 0.140625, 0.019775390625
-3.0, -1.0, 1.0, 1.0
-2.25, 0.875, 0.765625, 0.586181640625
-2.25, 0.875, 0.765625, 0.586181640625
-3.0, 1.0, 1.0, 1.0
-2.25, -0.875, 0.765625, 0.586181640625
-2.25, -0.875, 0.765625, 0.586181640625
-3.0, 1.0, 1.0, 1.0
-2.25, -0.875, 0.765625, 0.586181640625
-0.25, 0.25, 0.0625, 0.00390625
-2.25, -0.875, 0.765625, 0.586181640625
-1.75, 0.75, 0.5625, 0.31640625
-2.25, 0.875, 0.765625, 0.586181640625
-3.0, 1.0, 1.0, 1.0
-2.25, -0.875, 0.765625, 0.586181640625
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-0.5, -0.125, 0.015625, 0.000244140625
-2.25, 0.875, 0.765625, 0.586181640625
-2.25, -0.875, 0.765625, 0.586181640625
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-0.5, -0.5, 0.25, 0.0625
-1.75, 0.75, 0.5625, 0.31640625
-3.0, 1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-2.25, 0.875, 0.765625, 0.586181640625
-0.75, 0.375, 0.140625, 0.019775390625
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-1.0, 0.625, 0.390625, 0.152587890625
-3.0, -1.0, 1.0, 1.0
-0.5, -0.125, 0.015625, 0.000244140625
-2.25, 0.875, 0.765625, 0.586181640625
-2.25, 0.875, 0.765625, 0.586181640625
-3.0, 1.0, 1.0, 1.0
-1.25, 0.625, 0.390625, 0.152587890625
-3.0, 1.0, 1.0, 1.0
-2.25, -0.875, 0.765625, 0.586181640625
-3.0, 1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-2.25, -0.875, 0.765625, 0.586181640625
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-2.25, -0.875, 0.765625, 0.586181640625
-1.75, -0.75, 0.5625, 0.31640625
-2.25, -0.875, 0.765625, 0.586181640625
-1.5, 0.75, 0.5625, 0.31640625
-3.0, 1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-0.25, 0.375, 0.140625, 0.019775390625
-1.5, 0.75, 0.5625, 0.31640625
-2.25, -0.875, 0.765625, 0.586181640625
-0.5, -0.5, 0.25, 0.0625
-3.0, 1.0, 1.0, 1.0
-2.25, 0.875, 0.765625, 0.586181640625
-0.75, -0.375, 0.140625, 0.019775390625
-2.25, -0.875, 0.765625, 0.586181640625
-3.0, -1.0, 1.0, 1.0
-2.25, -0.875, 0.765625, 0.586181640625
-2.25, 0.875, 0.765625, 0.586181640625
-1.5, 0.625, 0.390625, 0.152587890625
-3.0, 1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-2.25, -0.875, 0.765625, 0.586181640625
-1.25, 0.625, 0.390625, 0.152587890625
-1.5, 0.75, 0.5625, 0.31640625
-3.0, 1.0, 1.0, 1.0
-1.75, 0.75, 0.5625, 0.31640625
-2.25, -0.875, 0.765625, 0.586181640625
-3.0, 1.0, 1.0, 1.0
-2.25, 0.875, 0.765625, 0.586181640625
-3.0, 1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-2.25, -0.875, 0.765625, 0.586181640625
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-2.25, 0.875, 0.765625, 0.586181640625
-2.25, -0.875, 0.765625, 0.586181640625
-3.0, 1.0, 1.0, 1.0
-0.5, 0.125, 0.015625, 0.000244140625
-1.5, -0.75, 0.5625, 0.31640625
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-2.25, -0.875, 0.765625, 0.586181640625
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-1.75, 0.75, 0.5625, 0.31640625
-3.0, -1.0, 1.0, 1.0
-1.75, -0.75, 0.5625, 0.31640625
-3.0, -1.0, 1.0, 1.0
-2.25, -0.875, 0.765625, 0.586181640625
-3.0, 1.0, 1.0, 1.0
-2.25, 0.875, 0.765625, 0.586181640625
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-2.25, 0.875, 0.765625, 0.586181640625
-3.0, -1.0, 1.0, 1.0
-1.75, -0.75, 0.5625, 0.31640625
-1.75, -0.75, 0.5625, 0.31640625
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-1.5, 0.75, 0.5625, 0.31640625
-2.25, 0.875, 0.765625, 0.586181640625
-2.25, 0.875, 0.765625, 0.586181640625
-2.25, 0.875, 0.765625, 0.586181640625
-1.5, -0.75, 0.5625, 0.31640625
-3.0, 1.0, 1.0, 1.0
-2.25, -0.875, 0.765625, 0.586181640625
-1.75, 0.75, 0.5625, 0.31640625
-2.25, -0.875, 0.765625, 0.586181640625
-0.75, -0.25, 0.0625, 0.00390625
-3.0, 1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-2.25, -0.875, 0.765625, 0.586181640625
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-2.25, -0.875, 0.765625, 0.586181640625
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-1.25, -0.5, 0.25, 0.0625
-3.0, 1.0, 1.0, 1.0
-1.5, -0.625, 0.390625, 0.152587890625
-3.0, 1.0, 1.0, 1.0
-2.25, 0.875, 0.765625, 0.586181640625
-2.25, 0.875, 0.765625, 0.586181640625
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-2.25, 0.875, 0.765625, 0.586181640625
-3.0, 1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-1.75, 0.75, 0.5625, 0.31640625
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-1.0, -0.625, 0.390625, 0.152587890625
-1.25, 0.625, 0.390625, 0.152587890625
-2.25, -0.875, 0.765625, 0.586181640625
-3.0, 1.0, 1.0, 1.0
-2.25, -0.875, 0.765625, 0.586181640625
-2.25, -0.875, 0.765625, 0.586181640625
-1.0, 0.5, 0.25, 0.0625
-1.75, 0.75, 0.5625, 0.31640625
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-1.5, -0.75, 0.5625, 0.31640625
-1.75, -0.75, 0.5625, 0.31640625
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-1.75, -0.75, 0.5625, 0.31640625
-3.0, 1.0, 1.0, 1.0
-2.25, -0.875, 0.765625, 0.586181640625
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-2.25, 0.875, 0.765625, 0.586181640625
-2.25, -0.875, 0.765625, 0.586181640625
-3.0, -1.0, 1.0, 1.0
-2.25, -0.875, 0.765625, 0.586181640625
-3.0, 1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-0.25, -0.375, 0.140625, 0.019775390625
-3.0, -1.0, 1.0, 1.0
-1.5, -0.75, 0.5625, 0.31640625
-1.75, -0.75, 0.5625, 0.31640625
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-2.25, 0.875, 0.765625, 0.586181640625
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-1.75, 0.75, 0.5625, 0.31640625
-3.0, 1.0, 1.0, 1.0
-1.25, -0.625, 0.390625, 0.152587890625
-3.0, 1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-1.75, 0.75, 0.5625, 0.31640625
-2.25, 0.875, 0.765625, 0.586181640625
-2.25, 0.875, 0.765625, 0.586181640625
-3.0, 1.0, 1.0, 1.0
-2.25, -0.875, 0.765625, 0.586181640625
-2.25, 0.875, 0.765625, 0.586181640625
-3.0, -1.0, 1.0, 1.0
-1.0, 0.375, 0.140625, 0.019775390625
-2.25, 0.875, 0.765625, 0.586181640625
-3.0, 1.0, 1.0, 1.0
-1.75, -0.75, 0.5625, 0.31640625
-3.0, -1.0, 1.0, 1.0
-1.75, 0.75, 0.5625, 0.31640625
-1.75, 0.75, 0.5625, 0.31640625
-3.0, 1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-1.5, 0.625, 0.390625, 0.152587890625
-2.25, -0.875, 0.765625, 0.586181640625
-2.25, -0.875, 0.765625, 0.586181640625
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-1.5, -0.75, 0.5625, 0.31640625
-2.25, -0.875, 0.765625, 0.586181640625
-0.25, -0.125, 0.015625, 0.000244140625
-3.0, 1.0, 1.0, 1.0
-2.25, 0.875, 0.765625, 0.586181640625
-2.25, 0.875, 0.765625, 0.586181640625
-2.25, -0.875, 0.765625, 0.586181640625
-1.75, 0.75, 0.5625, 0.31640625
-3.0, -1.0, 1.0, 1.0
-1.75, -0.75, 0.5625, 0.31640625
-1.5, -0.75, 0.5625, 0.31640625
-1.0, 0.5, 0.25, 0.0625
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-2.25, -0.875, 0.765625, 0.586181640625
-1.0, 0.625, 0.390625, 0.152587890625
-3.0, -1.0, 1.0, 1.0
-2.25, 0.875, 0.765625, 0.586181640625
-1.5, -0.75, 0.5625, 0.31640625
-2.25, -0.875, 0.765625, 0.586181640625
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-1.75, 0.75, 0.5625, 0.31640625
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-2.25, 0.875, 0.765625, 0.586181640625
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-2.25, 0.875, 0.765625, 0.586181640625
-1.5, 0.625, 0.390625, 0.152587890625
-1.75, -0.75, 0.5625, 0.31640625
-1.5, -0.625, 0.390625, 0.152587890625
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-0.75, 0.375, 0.140625, 0.019775390625
-1.75, -0.75, 0.5625, 0.31640625
-2.25, -0.875, 0.765625, 0.586181640625
-2.25, 0.875, 0.765625, 0.586181640625
-3.0, 1.0, 1.0, 1.0
-2.25, -0.875, 0.765625, 0.586181640625
-2.25, -0.875, 0.765625, 0.586181640625
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-1.5, 0.75, 0.5625, 0.31640625
-3.0, -1.0, 1.0, 1.0
-2.25, -0.875, 0.765625, 0.586181640625
-2.25, -0.875, 0.765625, 0.586181640625
-2.25, 0.875, 0.765625, 0.586181640625
-3.0, -1.0, 1.0, 1.0
-2.25, -0.875, 0.765625, 0.586181640625
-2.25, 0.875, 0.765625, 0.586181640625
-0.5, -0.125, 0.015625, 0.000244140625
-3.0, 1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-1.25, 0.625, 0.390625, 0.152587890625
-3.0, 1.0, 1.0, 1.0
-1.0, 0.625, 0.390625, 0.152587890625
-1.5, 0.75, 0.5625, 0.31640625
-1.75, 0.75, 0.5625, 0.31640625
-2.25, 0.875, 0.765625, 0.586181640625
-0.75, -0.5, 0.25, 0.0625
-1.5, -0.75, 0.5625, 0.31640625
-2.25, -0.875, 0.765625, 0.586181640625
-2.25, 0.875, 0.765625, 0.586181640625
-3.0, -1.0, 1.0, 1.0
-2.25, -0.875, 0.765625, 0.586181640625
-3.0, 1.0, 1.0, 1.0
-2.25, 0.875, 0.765625, 0.586181640625
-2.25, -0.875, 0.765625, 0.586181640625
-1.25, -0.625, 0.390625, 0.152587890625
-3.0, -1.0, 1.0, 1.0
-0.25, 0.0, 0.0, 0.0
-3.0, 1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-2.25, 0.875, 0.765625, 0.586181640625
-2.25, -0.875, 0.765625, 0.586181640625
-3.0, 1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-1.25, -0.625, 0.390625, 0.152587890625
-3.0, -1.0, 1.0, 1.0
-2.25, 0.875, 0.765625, 0.586181640625
-3.0, 1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-1.5, -0.75, 0.5625, 0.31640625
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-2.25, -0.875, 0.765625, 0.586181640625
-1.75, -0.75, 0.5625, 0.31640625
-2.25, -0.875, 0.765625, 0.586181640625
-1.5, -0.75, 0.5625, 0.31640625
-1.25, -0.625, 0.390625, 0.152587890625
-2.25, -0.875, 0.765625, 0.586181640625
-2.25, 0.875, 0.765625, 0.586181640625
-0.5, 0.125, 0.015625, 0.000244140625
-2.25, 0.875, 0.765625, 0.586181640625
-3.0, 1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-0.75, 0.25, 0.0625, 0.00390625
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-0.5, 0.375, 0.140625, 0.019775390625
-3.0, 1.0, 1.0, 1.0
-1.75, -0.75, 0.5625, 0.31640625
-3.0, 1.0, 1.0, 1.0
-2.25, -0.875, 0.765625, 0.586181640625
-3.0, 1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-2.25, -0.875, 0.765625, 0.586181640625
-0.5, 0.375, 0.140625, 0.019775390625
-2.25, 0.875, 0.765625, 0.586181640625
-3.0, 1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-1.75, -0.75, 0.5625, 0.31640625
-3.0, 1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-2.25, 0.875, 0.765625, 0.586181640625
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-1.0, -0.5, 0.25, 0.0625
-3.0, 1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-1.75, -0.75, 0.5625, 0.31640625
-3.0, 1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-2.25, -0.875, 0.765625, 0.586181640625
-2.25, -0.875, 0.765625, 0.586181640625
-1.75, 0.75, 0.5625, 0.31640625
-3.0, 1.0, 1.0, 1.0
-2.25, 0.875, 0.765625, 0.586181640625
-3.0, 1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-2.25, -0.875, 0.765625, 0.586181640625
-1.75, -0.75, 0.5625, 0.31640625
-3.0, -1.0, 1.0, 1.0
-2.25, -0.875, 0.765625, 0.586181640625
-1.75, 0.75, 0.5625, 0.31640625
-1.75, -0.75, 0.5625, 0.31640625
-3.0, 1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-1.0, -0.625, 0.390625, 0.152587890625
-1.0, 0.625, 0.390625, 0.152587890625
-0.75, 0.25, 0.0625, 0.00390625
-1.75, -0.75, 0.5625, 0.31640625
-0.75, -0.375, 0.140625, 0.019775390625
-3.0, 1.0, 1.0, 1.0
-1.25, -0.625, 0.390625, 0.152587890625
-1.5, -0.75, 0.5625, 0.31640625
-3.0, -1.0, 1.0, 1.0
-0.25, -0.125, 0.015625, 0.000244140625
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-2.25, -0.875, 0.765625, 0.586181640625
-2.25, 0.875, 0.765625, 0.586181640625
-1.25, -0.625, 0.390625, 0.152587890625
-3.0, 1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-2.25, -0.875, 0.765625, 0.586181640625
-1.75, -0.75, 0.5625, 0.31640625
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-1.5, -0.75, 0.5625, 0.31640625
-1.5, -0.625, 0.390625, 0.152587890625
-2.25, 0.875, 0.765625, 0.586181640625
-3.0, -1.0, 1.0, 1.0
-0.75, 0.5, 0.25, 0.0625
-1.25, -0.5, 0.25, 0.0625
-3.0, -1.0, 1.0, 1.0
-2.25, -0.875, 0.765625, 0.586181640625
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-2.25, -0.875, 0.765625, 0.586181640625
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-1.75, 0.75, 0.5625, 0.31640625
-1.75, 0.75, 0.5625, 0.31640625
-3.0, 1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-0.5, -0.125, 0.015625, 0.000244140625
-1.5, -0.75, 0.5625, 0.31640625
-3.0, 1.0, 1.0, 1.0
-1.5, -0.75, 0.5625, 0.31640625
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-2.25, -0.875, 0.765625, 0.586181640625
-3.0, 1.0, 1.0, 1.0
-1.5, -0.625, 0.390625, 0.152587890625
-3.0, 1.0, 1.0, 1.0
-2.25, 0.875, 0.765625, 0.586181640625
-1.75, -0.75, 0.5625, 0.31640625
-3.0, -1.0, 1.0, 1.0
-0.75, -0.375, 0.140625, 0.019775390625
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-1.75, -0.75, 0.5625, 0.31640625
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-2.25, -0.875, 0.765625, 0.586181640625
-1.0, -0.5, 0.25, 0.0625
-2.25, 0.875, 0.765625, 0.586181640625
-1.5, -0.75, 0.5625, 0.31640625
-2.25, 0.875, 0.765625, 0.586181640625
-1.5, 0.75, 0.5625, 0.31640625
-1.25, 0.5, 0.25, 0.0625
-3.0, 1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-2.25, -0.875, 0.765625, 0.586181640625
-3.0, -1.0, 1.0, 1.0
-1.5, 0.625, 0.390625, 0.152587890625
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-2.25, 0.875, 0.765625, 0.586181640625
-2.25, -0.875, 0.765625, 0.586181640625
-2.25, 0.875, 0.765625, 0.586181640625
-2.25, 0.875, 0.765625, 0.586181640625
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-2.25, -0.875, 0.765625, 0.586181640625
-2.25, -0.875, 0.765625, 0.586181640625
-2.25, -0.875, 0.765625, 0.586181640625
-1.75, 0.75, 0.5625, 0.31640625
-3.0, 1.0, 1.0, 1.0
-1.5, 0.75, 0.5625, 0.31640625
-3.0, 1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-1.5, 0.75, 0.5625, 0.31640625
-2.25, -0.875, 0.765625, 0.586181640625
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-1.25, 0.5, 0.25, 0.0625
-3.0, 1.0, 1.0, 1.0
-2.25, 0.875, 0.765625, 0.586181640625
-3.0, 1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-1.5, 0.625, 0.390625, 0.152587890625
-2.25, 0.875, 0.765625, 0.586181640625
-3.0, -1.0, 1.0, 1.0
-1.0, 0.375, 0.140625, 0.019775390625
-3.0, 1.0, 1.0, 1.0
-2.25, 0.875, 0.765625, 0.586181640625
-1.25, -0.5, 0.25, 0.0625
-3.0, 1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-1.75, 0.75, 0.5625, 0.31640625
-0.75, 0.5, 0.25, 0.0625
-3.0, 1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-2.25, 0.875, 0.765625, 0.586181640625
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, -1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
-1.25, 0.625, 0.390625, 0.152587890625
-3.0, -1.0, 1.0, 1.0
-1.75, -0.75, 0.5625, 0.31640625
-3.0, 1.0, 1.0, 1.0
-3.0, 1.0, 1.0, 1.0
